allegro_E,allegro_F,vasp_E,vasp_F
-1118.9190082830446,0.48088999007804567,-1122.20914102,0.6325653727710678
-1118.935932537945,0.4469032234443467,-1122.33717936,0.5443675176257304
-1118.9655356885696,0.39245861186733544,-1122.48978491,0.5567888982244528
-1119.000563577639,0.3221901879549612,-1122.57783599,0.5011659767791505
-1119.0330741794282,0.24077492083095184,-1122.63242779,0.4004456964108866
-1119.0564971063054,0.16552299010125965,-1122.69594024,0.27277775394998766
-1119.0676263506448,0.10597571532645281,-1122.70387688,0.23566222280628688
-1119.0675269983608,0.14614875864855462,-1122.73929891,0.1825486975165805
-1119.0678776561933,0.14221527756224403,-1122.74866833,0.1912920231844496
-1119.0685674632111,0.1344872375248707,-1122.7721822,0.0983797746287315
-1119.069521445836,0.12323051757883073,-1122.77435269,0.19073152393089088
-1119.0706250549679,0.10884281065608696,-1122.78638775,0.09592746348674086
-1119.0718055308437,0.09183524062919671,-1122.78647712,0.11947538900124996
-1119.0729497357697,0.0728310265159589,-1122.79266842,0.03529417549681533
-1119.0739734485176,0.0590309706033423,-1122.79283938,0.06421486698576896
-1119.0748701168238,0.047280089730845354,-1122.79539492,0.048065441857950295
-1119.0755268621804,0.03838007563596117,-1122.79543224,0.06150300944669293
-1119.0758466757827,0.03588575988196373,-1122.79678247,0.027279471934038606
-1119.0758812479871,0.0391830669000496,-1122.79678921,0.03342727889015198
-1119.0759021311299,0.03858607442810805,-1122.79739691,0.009039730803514008
-1119.0759529023744,0.0374029253262539,-1122.79740023,0.01257504998001996
-1119.0760072949784,0.03565542380774606,-1122.79760494,0.010947077829265671
-1119.0760765853515,0.03336893453522228,-1122.79760583,0.013005864062029866
-1119.0761688648622,0.030820785534903673,-1122.79769659,0.007867560041080081
-1119.0762680320158,0.03000945720679024,-1122.79769767,0.00794956351002997
-1119.0763520317453,0.029096315230675237,-1122.79776415,0.00482739898910376
-1119.0764587655233,0.027977993331224922,-1122.79776348,0.004707047482233422
-1119.0765547616047,0.026630000154361632,-1122.797779,0.0028223017202276585
-1119.0766675354694,0.025025808029402834,-1122.79777832,0.003345975044736586
-1119.0767215861415,0.023144685574123504,-1122.79778414,0.0036167501987281344
-1119.076798745009,0.020982182150627988,-1122.79778605,0.0021163111774972977
-1119.0768415469997,0.018561709077085712,,
-1119.0768836042866,0.01590596910381295,,
-1119.0769421932646,0.015055742722210165,,
-1119.0770366706247,0.014423310980450396,,
-1119.0771457271162,0.011394772956079456,,
-1119.0772238810778,0.008171242598651577,,
